TYPEANA;TYPEANA_LABEL
AAU.AAU1MEC;1 Méthylhistidine  
AAU.AAU1ME;1 Méthylhistidine
AAU.AAU3MEC;3 Méthylhistidine  
AAU.AAU3ME;3 Méthylhistidine
ABEG.ABEGCOM;Commentaire
ABEG.ABEGCOML;Commentaire
ABEG.ABEG;Dosage
ABEL.ABEL-COM1;COMMENTAIRE STD
ABEL.ABEL-COM2;COMMENTAIRE LIBRE
ABEL.ABEL-ENV;Envoyé le :
ABEL.ABEL-RECU;Reçu le : 
ABEM.ABEMCOM;Commentaire
ABEM.ABEMCOML;Commentaire
ABEM.ABEM;Dosage
ABETA.000;Anti BETA2
ABETA.005;dosage
ABETG.ABETGCOM;Commentaire
ABETG.ABETGDOA;Dosage
ABETG.ABETG;Dosage
ABETG.ABETGZC1;Valeurs référence anti-IgG béta2 GP1
ABETG.ABETGZC2;Valeurs référence anti-IgG béta2 GP1
ABETG.ABETGZC3;Interprétation
ABETG.ABETGZC4;Interprétation
ABETG.000;ANTI-BETA2 GLYCOPROTEINE I (IGG)
ABETG.005;     DOSAGE.(ELISA):....................
ABETM.ABETMCOM;Commentaire
ABETM.ABETMCOML;Commentaire
ABETM.ABETMDOA;Dosage
ABETM.ABETM;Dosage
ABETM.ABETMZC1;Valeurs de référence anti-IgM béta2 GP1
ABETM.ABETMZC2;Valeurs de référence anti-IgM béta2 GP1
ABETM.ABETMZC3;Interprétation
ABETM.ABETMZC4;Interprétation
ABETM.000;ANTI-BETA2 GLYCOPROTEINE I (IGM)
ABETM.005;     DOSAGE.(ELISA):....................
ABET1.000;ANTI-BETA2 GLYCOPROTEINE I              
ABET1.007; Test de DEPISTAGE ELISA (IgG,A,M)......
ABET2.000;ANTI-BETA2 GLYCOPROTEINE I (IgG)        
ABET2.005; dosage IgG (ELISA):....................
ABET3.000;ANTI-BETA2 GLYCOPROTEINE I (IgM)        
ABET3.005; dosage IgM (ELISA):....................
ABG.ABG_CONC;Conclusion
ABG.ABG_RES;Béta-glucocérébrosidase
ABU.ABU;Albumine Urinaire
ABU.ABUCOM;Commentaire
ABU.ABUCREA;Creatinine Urinaire
ABU.ABUC;Soit en µg/mn
ABU.ABUD;Durée
ABU.ABUD1;Hdebut
ABU.ABUD2;MNdebut
ABU.ABUD3;Hfin
ABU.ABUD4;MNfin
ABU.ABUR;Albumine / Créatinine Urinaire
ABU.ABUV;Volume de l ' échantillon
ABU.ABU2;Albumine Urinaire
ABU.ABU24H;Albumine /Volume des 24h
ACAC.ACAC;Acéto acétate
ACAC.ACACC;Commentaire
ACAG.ACAGCOM;Commentaire
ACAG.ACAGCOML;Commentaire
ACAG.ACAGDOA;Dosage
ACAG.ACAG;Dosage
ACAG.ACAGZC1;Valeurs de référence anti-IgG cardio.
ACAG.ACAGZC2;Valeurs de référence anti-IgG cardio.
ACAG.ACAGZC3;Interprétation
ACAG.ACAGZC4;Interprétation
ACAM.ACAMCOM;Commentaire
ACAM.ACAMCOML;Commentaire
ACAM.ACAMDOA;Dosage
ACAM.ACAM;Dosage
ACAM.ACAMZC1;Valeurs de référence anti-IgM cardio.
ACAM.ACAMZC2;Valeurs de référence anti-IgM cardio.
ACAM.ACAMZC3;Interprétation
ACAM.ACAMZC4;Interprétation
ACANO.ACANOANNUL;Annule
ACARD.000;ANTI-CARDIOLIPINE (IgG ELISA)
ACARD.005;*    Recherche :
ACARD.010;dosage:............................
ACARD.012;LIB BLANC
ACARD.015;*COMMENTAIRE
ACARG.ACARGCOM;Commentaire
ACARG.ACARG;Dosage
ACARM.ACARMCOM;Commentaire
ACARM.ACARM;Dosage
ACARM.000;ANTI-CARDIOLIPINE (IgM ELISA)
ACARM.005;DOSAGE:............................
ACARM.015;*COMMENTAIRE
ACARN.ACARNRES;Résultat le
ACART.ACARTANNUL;Annule
ACBI.ACBI;Acides biliaires
ACCCA.000;INH.T.C.A.
ACCCA.005;TITRE LONG
ACCCA.010;------------------------------------
ACCCA.015;SANS INC.?  O/
ACCCA.020;*LIGNE BLA
ACCCA.025;SANS INCU. =O
ACCCA.030;T.TEM
ACCCA.035;TEM+MAL
ACCCA.040;T.MAL
ACCCA.045;1H A 37?   O/N
ACCCA.050;*LIGNE BLA
ACCCA.055;1H A 37  =O
ACCCA.060;TEM.1H37
ACCCA.065;T+M1H37
ACCCA.070;MAL1H37
ACCCA.075;2H A 37 ? O/N
ACCCA.080;*LIGNE BLA
ACCCA.085;2H A 37 =O
ACCCA.090;TEM2H37
ACCCA.095;T+M2H37
ACCCA.100;MAL2H37
ACCCA.105;INHIB.TCA.0/1
ACCCK.000;RECHERCHE INHIBITEUR (T.CEPH.KAOLIN)
ACCCK.005;TITRE LONG
ACCCK.010;------------------------------------
ACCCK.015;SANS INCUBATION
ACCCK.020;*LIGNE BLANCHE
ACCCK.025;*    SANS INCUBATION
ACCCK.030;Temps temoin. . . . . . . . .
ACCCK.035;Temps temoin + malade. . . . .
ACCCK.040;Temps malade. . . . . . . . .
ACCCK.045;1H A 37 DEGRES
ACCCK.050;*LIGNE BLANCHE
ACCCK.055;*     APRES 1H.A 37 DEGRES
