TYPEANA;TYPEANA_LABEL
BG_ADNCOX.BG_ADNCOX_ENV;PCR Coxiella - Envoyée le 
BG_ADNCOX.BG_ADNCOX_LAB;PCR Coxiella - PCR réalisée par
BG_ADNCOX.BG_ADNCOX__NAT;PCR Coxiella - Nature de prélèvement
BG_ADNCOX.BG_ADNCOX_PVT;PCR Coxiella - Nature pvt calculée
BG_ADNCOX.BG_ADNCOX_RES;PCR Coxiella - Résultat
BG_ADNCOX.BG_ADNCOX_RET;PCR Coxiella - Résultat reçu le 
BG_ADNCOX.BG_ADNCOX_ST;PCR Coxiella - Statut
BG_ADNCP.BG_ADNCP_CT;PCR Chlamydia pneumoniae - Ct
BG_ADNCP.BG_ADNCP_RES;PCR Chlamydia pneumoniae - Résultat
BG_ADNCP.BG_ADNCP_TEC;PCR Chlamydia pneumoniae - Technique
BG_ADNEAE.BG_ADNEAE_COM;PCR EAE - Commentaire
BG_ADNEAE.BG_ADNEAE_CT;PCR EAE - Ct
BG_ADNEAE.BG_ADNEAE_CTS;PCR EAE - Ct souche
BG_ADNEAE.BG_ADNEAE_NAT;PCR EAE - Nature de prélèvement
BG_ADNEAE.BG_ADNEAE_RES;PCR EAE - Résultat
BG_ADNEAE.BG_ADNEAE_ST;PCR EAE - Statut
BG_ADNEAE.BG_ADNEAE_TEC;PCR EAE - Technique
BG_ADNEXB.BG_ADNEXB_COM;Recherche du gène de l'exfoliatine B - Commentaire
BG_ADNEXB.BG_ADNEXB_CT;Recherche du gène de l'exfoliatine B - Ct
BG_ADNEXB.BG_ADNEXB_CTS;Recherche du gène de l'exfoliatine B - Ct souche
BG_ADNEXB.BG_ADNEXB_NAT;Recherche du gène de l'exfoliatine B - Nature de prélèvement
BG_ADNEXB.BG_ADNEXB_PVT;Recherche du gène de l'exfoliatine B - Nature pvt calculée
BG_ADNEXB.BG_ADNEXB_RES;Recherche du gène de l'exfoliatine B - Résultat
BG_ADNEXB.BG_ADNEXB_ST;Recherche du gène de l'exfoliatine B - Statut
BG_ADNEXB.BG_ADNEXB_TEC;Recherche du gène de l'exfoliatine B - Technique
BG_ADNFT.BG_ADNFT_COM;PCR Francisella tularensis - Commentaire
BG_ADNFT.BG_ADNFT_CT;PCR Francisella tularensis - Ct
BG_ADNFT.BG_ADNFT_CTS;PCR Francisella tularensis - Ct souche
BG_ADNFT.BG_ADNFT_NAT;PCR Francisella tularensis - Prélèvement
