SEJUF;SEJUF_LABEL
1054;S.U.D. CHU ROUEN
1143;SERVICE SOCIAL PERS
1312;TRAV ENERG EAU SJ
1313;TRAVAUX ENERG EAU BG
1314;TRAV ENERG EAU OISSE
1317;MAINTENANCE FROID
1318;ATELIER CHAUFFAGE SJ
1319;ATELIER CHAUFFAGE
1320;ATELIER MENUISERIE
1321;ATELIER SERRURERIE
1323;ATELIERS BG
1324;ATELIERS OISSEL
1055;SMPS CHU DE ROUEN
1057;UNSA CHU DE ROUEN
1911;EVENEM EXCEP ARMADA
8101;CS ANESTH LOC NIV 0
2475;CRE
1343;MENUISERIE STJULIEN
1344;ELECTRICITE STJULIEN
1346;SERRURERIE ST JULIEN
1347;PLOMBERIE ST JULIEN
1348;PEINTURE ST JULIEN
1349;MACONNERIE ST JULIEN
1131;ACTIVITES TRANSVERSA
1040;CPIAS NORMANDIE
5157;UNITE TEMPOR CRISE G
1170;LOGISTIQUE
1175;DIRECTION DAHLIB
1209;DAHLIB GHT BUDGET G
7203;CROIX ROUGE REPAS 2E
7204;CROIX ROUGE REPAS 4E
7205;CROIX ROUGE MEDECINE
1135;EQUIPT TRAV SCE TECH
1136;SECURITE INCENDIE
1210;DTST GHT BUDGET G
1249;NOUVEL HOPITAL HCN
1251;TRAVAUX ASSOCIATIONS
1252;TRAVAUX INSTIT BIOL
1255;MAISON DES FAMILLES
1256;HUMANISATION DEVE
2174;ANESTH LOC NIV 1
2172;ANESTH LOC NIV 2
2171;ANESTH LOC NIV 3
2177;ANESTH LOC PED
2178;ANESTH LOC GYN OBST
2176;ANESTH LOC NIV 4
5590;PNEUMOLOGIE C.N
5900;PSYCHIATRIE
5901;PSYCHIATRIE HJ
6150;CHIRURGIE PEDIATR UG
3101;FEDERATION CANCERO
5718;CR MICROANGIO TROMB
5630;PNEUMOLOGIE SI RESPI
5351;DOULEUR RACHIS
5853;UR SJ PLAN BLANC
6117;SALON PRE OPERAT J0
2100;ANESTHESIOLOGIE UF G
6550;UAAP
1812;CELLULE LEGIONEL BG
1278;BUREAU BADGES CARTES
1182;DSI DPT DAAF
6119;UNITE ACCUEIL PROG
1185;DSI DPT DI2SE
1187;DSI DPT MQSCI
1208;DSI GHT BUDGET G
1092;DSI DPT METIERS
1246;COURSES
6330;CHIR.DIG.JOUANNEAU
5104;MED.INTERNE DEVE1 6E
6410;ORTHO.TRAUMATO.4 DV2
5105;MED INT IMMUNO CLINI
5705;URGENCES U.H.C.D.
6172;OPHTALMOLOGIE
5403;ONCO DIGESTIVE
1300;PATIENTELE DROIT PAT
2311;PHARMACIE HCN
1820;HEMOVIGILANCE
1821;IDENTITO VIGILANCE
1815;BIOSTATISTIQUE
8560;EPIDEMIO&PROMO.SANTE
1931;UF GENERIQUE IBC
1958;TECH.POLYVALENT NUIT
1951;URP DU POLE IBC
5106;MED INT IMMUNO HEMAT
5751;UHA 7E DEVE
1356;SALON DE SORTIE
1932;UF GENERIQU IMAGERIE
1952;UPR POLE IMAGERIE
1933;UF GENERIQUE RAS
1953;UPR DU POLE RAS
1934;UF GENERIQUE PHARMA
1954;UPR DU POLE PHARMA
2940;CESAH(ECOLE A L'HOP)
1510;SELF CROIX ROUGE
1553;RESTAURANT MED HCN
1554;SELF CHARLES NICOLLE
1555;SELF BOIS GUILLAUME
1556;SELF ST JULIEN
1557;SELF BLANCHISSERIE
1558;CAFETERIA CHU
1559;SELF OISSEL
1584;UCP UNITE 400 HERB
1550;CUISINE RELAI BETHEL
5260;ALLERGO NUTRITION
1272;MEDIATI SECUR ST JUL
1273;MEDIATION SECUR BG
U033;UCPA FILANDIERE
1581;UCP UNITE 100 HERB
1582;UCP UNITE 200 HERB
1583;UCP UNITE 300 HERB
1585;UCP UNITE 500 HERB
1586;UCP UNITE 600 HERB
1588;UCP REPAS SALLE HERB
1589;UCP SELF HERBIERS
1587;UCP REGIME SALLE HER
1590;UCP PLAN GRAND FROID
8338;ANIDER RIS CONSULTAT
8339;ANIDER RIS ESCALE
8340;ANIDER RIS DIALYSE
5501;UNITE GAST ENTERO
5505;SI HEPATO GAST ENT
5506;HEPATOLOGIE
5508;HS HEP GASTR ENTER
5513;RHUMATO.HOSP.COMPL.
5522;CARDIO UNITE LENEGRE
5523;CARDIO.LAUBRY
1440;BLANCHISSERIE
1419;BLANCHISSERIE
1423;BLANCHISSERIE
1424;BLANCHISSERIE
1551;CUISINE RELAI OISSEL
1552;CUISINE ST JULIEN
1561;ADMINISTRATION UCP
U001;UCPA HOSPIT PRENAT B
U002;UCPA SALLE NAIS BELV
U003;SUIT COUCH 1E O BEL
U004;UCPA CHIR BELVEDERE
U005;SUIT COUCH 2E E BELV
1700;C.E.S.U.
2112;CENTRE 15
7500;SOINS INF.DOMICILE
5530;CARDIO.SURV.CONTINUE
5855;UR PED PLAN BLANC
6103;CHIR.GENER.THORA.U21
6104;CHIR.VASCUL.2E DEVE2
1566;PRODUCTION UCP
1568;MAINTENANCE UCP
1575;DIRECTION ENCADR.UCP
